"HHINCOME","FAMSIZE","NCHILD","YNGCH","SEX","AGE","MARST","RACE","RACED","SPEAKENG","RACWHT","EDUC","EDUCD","EMPSTAT","EMPSTATD","CLASSWKR","CLASSWKRD","OCC","WKSWORK1","UHRSWORK","WORKEDYR","INCWAGE","OCCSCORE","VETDISAB","PWSTATE2","PWCOUNTY"
100000,3,1,0,1,28,1,1,100,3,2,11,115,1,10,2,22,2100,52,40,3,40000,62,0,39,165
100000,3,1,0,2,26,1,1,100,3,2,10,101,1,10,2,23,3255,52,40,3,60000,21,0,39,61
300400,7,4,2,2,35,1,1,100,3,2,10,101,1,10,2,22,1350,52,40,3,165000,49,0,39,61
183100,5,3,1,1,33,1,1,100,3,2,10,101,1,10,2,23,350,52,40,3,95000,21,0,39,61
183100,5,3,1,2,31,1,1,100,3,2,11,114,1,10,2,23,140,52,40,3,88000,42,0,39,61
94800,2,0,99,2,31,1,1,100,3,2,10,101,1,10,2,22,5740,52,40,3,48000,22,0,39,61
67000,3,1,5,1,32,1,1,100,3,2,6,63,1,10,2,22,4220,36,40,3,55000,19,0,39,0
67000,3,1,5,2,35,1,1,100,3,2,8,81,1,10,2,22,3300,52,40,3,12000,25,0,39,0
125000,3,1,5,1,35,4,1,100,3,2,10,101,1,10,2,22,310,52,55,3,65000,42,0,39,61
40200,3,0,99,2,31,6,1,100,3,2,10,101,1,10,2,23,3421,52,40,3,40000,25,0,39,61
141600,1,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,220,52,40,3,50000,42,0,39,61
35600,4,2,3,2,27,1,1,100,3,2,8,81,1,10,2,22,2016,52,65,3,20000,27,0,39,0
40000,2,1,9,1,35,6,1,100,3,2,6,63,1,10,2,22,7640,52,40,3,40000,30,0,39,61
133000,2,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,110,52,40,3,65000,42,0,39,61
133000,2,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,800,52,50,3,68000,38,0,39,61
29200,5,3,0,1,28,1,1,100,3,2,6,65,1,10,2,28,3870,52,48,3,24000,32,1,39,0
97000,2,0,99,2,25,6,1,100,3,2,10,101,1,10,2,22,630,52,45,3,52000,43,0,39,61
70000,1,0,99,1,29,6,1,100,3,2,10,101,1,10,2,22,10,52,40,3,70000,42,0,39,61
152000,2,0,99,2,28,6,1,100,3,2,6,65,1,10,2,22,4010,41,35,3,12000,42,0,39,61
89000,2,0,99,2,26,6,1,100,3,2,11,114,1,10,2,28,2300,52,40,3,53000,27,0,39,61
89000,2,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,530,52,40,3,36000,42,0,39,61
30000,1,0,99,2,25,6,1,100,3,2,8,81,1,10,2,22,410,52,40,3,30000,20,0,39,61
40200,1,0,99,2,29,6,1,100,3,2,8,81,1,10,2,22,2640,52,40,3,40000,38,0,39,61
150000,3,1,2,1,32,1,1,100,3,2,7,71,1,10,2,22,440,52,40,3,35000,42,0,39,61
118000,3,1,1,2,27,1,1,100,3,2,10,101,1,10,2,23,3323,52,40,3,47000,25,0,39,61
47000,1,0,99,2,27,6,1,100,3,2,10,101,1,10,2,22,500,52,40,3,47000,42,0,39,61
244000,2,0,99,1,32,1,1,100,3,2,11,115,1,10,2,22,3040,52,40,3,128000,42,0,39,61
209000,4,1,5,1,35,1,1,100,3,2,10,101,1,10,2,22,1108,52,40,3,55000,33,0,39,61
80200,5,2,0,2,29,6,1,100,3,2,6,64,1,10,2,23,2545,38,45,3,45000,33,0,39,0
80200,5,0,99,1,31,2,1,100,3,2,7,71,1,10,2,22,3649,52,37,3,21200,16,0,39,0
70800,3,1,13,1,35,4,1,100,3,2,10,101,1,10,2,22,1031,52,40,3,62000,33,0,39,61
44000,4,2,3,2,26,1,1,100,3,2,6,63,1,10,2,22,5240,52,40,3,18000,25,0,39,61
40000,1,0,99,1,35,6,1,100,3,2,10,101,1,10,1,14,8740,52,37,3,40000,23,0,39,61
448000,3,0,99,2,25,6,1,100,3,2,10,101,1,10,2,22,5710,52,37,3,39000,22,0,39,61
155000,2,0,99,2,26,6,1,100,3,2,10,101,1,10,2,22,4700,52,80,3,85000,42,0,39,61
158150,4,2,0,1,35,1,1,100,3,2,11,114,1,10,1,14,800,52,40,3,100000,38,0,39,61
111700,5,1,2,1,31,1,1,100,3,2,7,71,1,10,1,13,9130,52,40,3,0,25,0,39,61
111400,4,2,3,1,28,1,1,100,3,2,10,101,1,10,2,22,1006,52,40,3,110000,33,0,39,61
139000,4,2,5,1,32,1,1,100,3,2,6,63,1,10,2,25,9210,52,55,3,100000,46,5,39,103
139000,4,2,5,2,28,1,1,100,3,2,10,101,1,10,2,28,2320,52,40,3,37900,27,0,39,0
119000,2,0,99,1,27,1,1,100,3,2,10,101,1,10,2,22,10,52,40,3,70000,42,1,39,61
43000,2,0,99,1,26,6,1,100,3,2,7,71,1,10,2,22,4010,52,48,3,39000,42,0,39,61
142000,1,0,99,1,27,6,1,100,3,2,7,71,1,10,2,22,425,52,65,3,92000,36,0,39,0
51400,7,5,6,1,35,1,1,100,3,2,6,63,1,10,2,22,9130,52,60,3,42000,25,0,39,61
78000,3,1,0,2,28,1,1,100,3,2,11,114,1,10,2,23,3255,52,34,3,48000,21,0,39,61
139000,2,0,99,1,27,1,1,100,3,2,10,101,1,10,2,22,1021,52,40,3,70000,33,0,39,61
139000,1,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,800,52,50,3,50000,38,0,39,61
132000,2,0,99,2,34,1,1,100,3,2,10,101,1,10,2,22,350,52,40,3,80000,21,0,39,61
99000,4,2,0,2,32,1,1,100,3,2,10,101,1,10,2,23,725,52,40,3,51000,42,0,39,61
99000,4,2,0,1,31,1,1,100,3,2,10,101,1,10,2,23,2400,52,40,3,48000,42,0,39,61
398000,4,2,0,1,35,1,1,100,3,2,11,115,1,10,2,23,3090,52,50,3,398000,80,0,39,61
105500,2,0,99,2,30,6,1,100,3,2,10,101,1,10,2,23,3220,52,36,3,52000,26,0,39,61
90050,3,1,6,2,31,6,1,100,3,2,7,71,1,10,2,22,3421,52,40,3,30000,25,0,39,61
141000,2,0,99,2,28,1,1,100,3,2,10,101,1,10,2,22,120,52,40,3,61000,42,0,39,61
101800,4,2,3,1,34,1,1,100,3,2,11,114,1,10,2,22,120,46,40,3,100000,42,0,39,61
75900,5,3,2,2,30,1,1,100,3,2,6,63,1,10,2,22,4700,52,45,3,29900,42,0,39,61
83000,6,4,2,2,34,1,1,100,3,2,6,64,1,10,2,22,5120,52,40,3,45000,22,0,39,61
125000,3,1,1,1,31,1,1,100,3,2,11,115,1,10,2,22,2100,52,40,3,55000,62,0,39,61
125000,3,1,1,2,31,1,1,100,3,2,10,101,1,10,2,22,1105,52,46,3,70000,33,0,39,0
83000,4,2,1,1,32,1,1,100,3,2,6,63,1,10,1,13,7420,50,45,3,0,30,0,39,61
74400,5,3,1,1,32,6,1,100,3,2,10,101,1,10,2,27,1551,52,40,3,30000,33,0,39,61
18000,3,1,13,1,28,6,7,700,6,1,1,16,1,10,1,13,4220,38,30,3,0,19,0,39,61
90000,4,2,1,2,32,1,1,100,3,2,10,101,1,10,2,23,3220,52,36,3,45000,26,0,39,61
160000,2,0,99,2,31,1,1,100,3,2,10,101,1,10,2,22,850,52,40,3,60000,40,0,39,0
100000,1,0,99,2,33,6,1,100,3,2,10,101,1,10,2,22,1350,52,42,3,100000,49,0,39,165
